capture	vector_id	power_sha256	model_id	max_abs_error_k	registered_error_k	grid_drift_k	registered_grid_drift_k	grid_status	bound_status
resnet50--gatecheck_02.npz	placed	b751e6c9efc250df2d9a14d44914c0cccc1501e41a970205570dca5ce2552dc5	block	6.862705959065352e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_02.npz	placed	b751e6c9efc250df2d9a14d44914c0cccc1501e41a970205570dca5ce2552dc5	grid64-avg	0.00018502336325809665	0.01	0.1472577023000099	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	placed	b751e6c9efc250df2d9a14d44914c0cccc1501e41a970205570dca5ce2552dc5	grid128-avg	0.00020564693238611653	0.01	0.0826099623999994	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-uniform	5ceec5876cb679e12478b6654e7b281ee2e093760870f6485a74b0b3be4edaa2	block	5.969695848762058e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_02.npz	bounded-uniform	5ceec5876cb679e12478b6654e7b281ee2e093760870f6485a74b0b3be4edaa2	grid64-avg	0.00023309202788368566	0.01	0.08754546040000832	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-uniform	5ceec5876cb679e12478b6654e7b281ee2e093760870f6485a74b0b3be4edaa2	grid128-avg	0.00024379816568398383	0.01	0.0578669317000049	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-random-17	c75833363fe7c8afc0a011ce6275892ce056d90ff713ca4c6327b42b5fcbc847	block	6.241975825105328e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_02.npz	bounded-random-17	c75833363fe7c8afc0a011ce6275892ce056d90ff713ca4c6327b42b5fcbc847	grid64-avg	0.0003230917337191386	0.01	0.19362089570000762	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-random-17	c75833363fe7c8afc0a011ce6275892ce056d90ff713ca4c6327b42b5fcbc847	grid128-avg	0.00033113611442558977	0.01	0.11281826499998715	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-random-23	26ed01d7a69ddace2977cc2b5164f77d3b852abe8394b4061e430c291116488a	block	6.077698344597593e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_02.npz	bounded-random-23	26ed01d7a69ddace2977cc2b5164f77d3b852abe8394b4061e430c291116488a	grid64-avg	0.0001686439154582331	0.01	0.1795475212000497	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-random-23	26ed01d7a69ddace2977cc2b5164f77d3b852abe8394b4061e430c291116488a	grid128-avg	0.0002308071003085388	0.01	0.11356879729999036	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-random-41	2af80af7ba42a72191945b100564e170c02b1c61d6126b1281e3968a7123b84d	block	6.309051059361082e-10	0.01	nan	0.05	UNGATED	PASS
resnet50--gatecheck_02.npz	bounded-random-41	2af80af7ba42a72191945b100564e170c02b1c61d6126b1281e3968a7123b84d	grid64-avg	0.0004203083243510264	0.01	0.24983394039998075	0.05	REJECT	PASS
resnet50--gatecheck_02.npz	bounded-random-41	2af80af7ba42a72191945b100564e170c02b1c61d6126b1281e3968a7123b84d	grid128-avg	0.00046736836912941726	0.01	0.2204972434000183	0.05	REJECT	PASS
